IPV6·央视,#genre#
CCTV [随机4K] 「IPV6」 ,http://[2409:8087:2001:20:2800:0:df6e:eb03]:80/PLTV/1/224/3221230805/1.m3u8
CCTV [随机4K] 「IPV6」 ,http://[2409:8087:2001:20:2800:0:df6e:eb22]/ott.mobaibox.com/PLTV/4/224/3221228502/index.m3u8
CCTV16 4K 「IPV6」 ,http://[2409:8087:2001:20:2800:0:df6e:eb18]/ott.mobaibox.com/PLTV/3/224/3221228127/index.m3u8
CCTV8K「IPV6」 ,http://[2409:8087:2001:20:2800:0:df6e:eb03]/wh7f454c46tw1981574683_-2118700426/ott.mobaibox.com/PLTV/3/224/3221228165/index.m3u8
CCTV1「IPV6」 ,http://[2409:8087:1e03:21::42]:6610/cms001/ch00000090990000001022/index.m3u8?
CCTV2「IPV6」 ,http://[2409:8087:1e03:21::42]:6610/cms001/ch00000090990000001220/index.m3u8?
CCTV3「IPV6」 ,http://[2409:8087:1e03:21::42]:6610/cms001/ch00000090990000001186/index.m3u8?
CCTV4「IPV6」 ,http://[2409:8087:1e03:21::42]:6610/cms001/ch00000090990000001221/index.m3u8?
CCTV5「IPV6」 ,http://[2409:8087:1e03:21::42]:6610/cms001/ch00000090990000001187/index.m3u8?
CCTV5+「IPV6」 ,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001334/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV6「IPV6」 ,http://[2409:8087:1e03:21::42]:6610/cms001/ch00000090990000001188/index.m3u8?
CCTV7「IPV6」 ,http://[2409:8087:1e03:21::42]:6610/cms001/ch00000090990000001236/index.m3u8?
CCTV8「IPV6」 ,http://[2409:8087:1e03:21::42]:6610/cms001/ch00000090990000001189/index.m3u8?
CCTV9「IPV6」 ,http://[2409:8087:1e03:21::42]:6610/cms001/ch00000090990000001237/index.m3u8?
CCTV10「IPV6」 ,http://[2409:8087:1e03:21::42]:6610/cms001/ch00000090990000001238/index.m3u8?
CCTV11「IPV6」 ,http://[2409:8087:1e03:21::42]:6610/cms001/ch00000090990000001309/index.m3u8?
CCTV12「IPV6」 ,http://[2409:8087:1e03:21::42]:6610/cms001/ch00000090990000001239/index.m3u8?
CCTV13「IPV6」 ,http://[2409:8087:1e03:21::42]:6610/cms001/ch00000090990000001328/index.m3u8?
CCTV14「IPV6」 ,http://[2409:8087:1e03:21::42]:6610/cms001/ch00000090990000001240/index.m3u8?
CCTV15「IPV6」 ,http://[2409:8087:1e03:21::42]:6610/cms001/ch00000090990000001338/index.m3u8?
CCTV16「IPV6」 ,http://[2409:8087:1e03:21::42]:6610/cms001/ch00000090990000001258/index.m3u8?
CCTV17「IPV6」 ,http://[2409:8087:1e03:21::42]:6610/cms001/ch00000090990000001241/index.m3u8?
CCTV兵器科技「IPV6」 ,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226975/index.m3u8
CCTV怀旧剧场「IPV6」 ,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226972/index.m3u8
CCTV世界地理「IPV6」 ,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002485/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV文化精品「IPV6」 ,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226981/index.m3u8
CCTV央视台球「IPV6」 ,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226956/index.m3u8
CCTV央视高网「IPV6」 ,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226978/index.m3u8
CCTV风云剧场「IPV6」 ,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002505/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV第一剧场「IPV6」 ,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002498/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV风云足球「IPV6」 ,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226984/index.m3u8
CCTV电视指南「IPV6」 ,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226987/index.m3u8
CCTV风云音乐「IPV6」 ,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002525/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV女性时尚「IPV6」 ,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002475/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CETV1「IPV6」 ,http://[2409:8087:1e03:21::42]:6610/cms001/ch00000090990000001020/index.m3u8?
CETV4「IPV6」 ,http://[2409:8087:1e03:21::42]:6610/cms001/ch00000090990000001348/index.m3u8?
CGTV「IPV6」 ,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001024/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
