



测试,#genre#

玄竹影视,#genre#
建议开启IPV6,http://mobilelive-ds.ysp.cctv.cn/ysp/2013693901.m3u8
支持所有线路,http://mobilelive-timeshift.ysp.cctv.cn/timeshift/ysp/2013693901/timeshift.m3u8?delay=0
开启方法百度,http://mobilelive-timeshift.ysp.cctv.cn/timeshift/ysp/2013693901/timeshift.m3u8?delay=0&cdn=5202
搜索你路由器,http:zf.aiyinch.cn/1905.php?id=cctv6
型号怎么开启,http:zf.aiyinch.cn/1905.php?id=1905a
1905电影网B,http:zf.aiyinch.cn/1905.php?id=1905b
CCTV6,http://mobilelive-ds.ysp.CCTV.cn/ysp/2013693901.m3u8


IPV4央视,#genre#
CCTV1,http://120.77.28.4:8648/mgu.php?id=cctv1
CCTV2,http://120.77.28.4:8648/mgu.php?id=cctv2
CCTV3,http://120.77.28.4:8648/mgu.php?id=cctv3
CCTV4,http://120.77.28.4:8648/mgu.php?id=cctv4
CCTV4美洲,http://120.77.28.4:8648/mgu.php?id=cctv4a
CCTV4欧洲,http://120.77.28.4:8648/mgu.php?id=cctv4o
CCTV5,http://120.77.28.4:8648/mgu.php?id=cctv5
CCTV5+,http://120.77.28.4:8648/mgu.php?id=cctv5p
CCTV6,http://120.77.28.4:8648/mgu.php?id=cctv6
CCTV7,http://120.77.28.4:8648/mgu.php?id=cctv7
CCTV8,http://120.77.28.4:8648/mgu.php?id=cctv8
CCTV9,http://120.77.28.4:8648/mgu.php?id=cctv9
CCTV10,http://120.77.28.4:8648/mgu.php?id=cctv10
CCTV11,http://120.77.28.4:8648/mgu.php?id=cctv11
CCTV12,http://120.77.28.4:8648/mgu.php?id=cctv12
CCTV13,http://120.77.28.4:8648/mgu.php?id=cctv13
CCTV14,http://120.77.28.4:8648/mgu.php?id=cctv14
CCTV15,http://120.77.28.4:8648/mgu.php?id=cctv15
CCTV16,http://154.12.55.21/hbdx/zb.php?id=239.254.200.61:6344
CCTV17,http://120.77.28.4:8648/mgu.php?id=cctv17
CCTV1,http://1.180.2.93:9901/tsfile/live/1020_1.m3u8
CCTV1,http://111.230.30.193/php/lyd.php?id=6559
CCTV2,http://1.180.2.93:9901/tsfile/live/1035_1.m3u8
CCTV2,http://111.230.30.193/php/lyd.php?id=6540
CCTV3,http://1.180.2.93:9901/tsfile/live/1054_1.m3u8
CCTV3,http://111.230.30.193/php/lyd.php?id=6021
CCTV4,http://1.180.2.93:9901/tsfile/live/1063_1.m3u8
CCTV4,http://111.230.30.193/php/lyd.php?id=6428
CCTV5+,http://1.180.2.93:9901/tsfile/live/1027_1.m3u8
CCTV5,http://111.230.30.193/php/lyd.php?id=6469
CCTV5+,http://111.230.30.193/php/lyd.php?id=5603
CCTV6,http://1.180.2.93:9901/tsfile/live/1064_1.m3u8
CCTV6,http://111.230.30.193/php/lyd.php?id=6010
CCTV7,http://111.230.30.193/php/lyd.php?id=5733
CCTV8,http://1.180.2.93:9901/tsfile/live/1065_1.m3u8
CCTV8,http://111.230.30.193/php/lyd.php?id=6008
CCTV9,http://1.180.2.93:9901/tsfile/live/1066_1.m3u8
CCTV9,http://111.230.30.193/php/lyd.php?id=5734
CCTV10,http://111.230.30.193/php/lyd.php?id=6473
CCTV11,http://111.230.30.193/php/lyd.php?id=6565
CCTV12,http://111.230.30.193/php/lyd.php?id=6568
CCTV13,http://111.230.30.193/php/lyd.php?id=6571
CCTV14,http://111.230.30.193/php/lyd.php?id=6591
CCTV15,http://111.230.30.193/php/lyd.php?id=6476
CCTV16,http://111.230.30.193/php/lyd.php?id=6100
CCTV17,http://111.230.30.193/php/lyd.php?id=5765
CHC动作电影,http://dd.ddzb.fun/php/gzyx.php?id=30b1cc920430d3264e4b053d78bacabf
CHC家庭影院,http://dd.ddzb.fun/php/gzyx.php?id=548e8018101d7fa134d91615728a5a93
CHC高清电影,http://dd.ddzb.fun/php/gzyx.php?id=f1f8aab0fd04f1cf17ba7ebcf67b06e0
发现之旅,http://120.77.28.4:8648/mgu.php?id=fxzl
老故事,http://120.77.28.4:8648/mgu.php?id=lgs
中学生,http://120.77.28.4:8648/mgu.php?id=zxs
CGTN,http://120.77.28.4:8648/mgu.php?id=cgtn
CGTN记录,http://120.77.28.4:8648/mgu.php?id=cgtnjl
CCTV西语,http://120.77.28.4:8648/mgu.php?id=cgtne
CCTV法语,http://120.77.28.4:8648/mgu.php?id=cgtnf
CCTV阿语,http://120.77.28.4:8648/mgu.php?id=cgtna
CCTV俄语,http://120.77.28.4:8648/mgu.php?id=cgtnr
CCTV16,http://154.12.55.21/zjzb/zjzb.php?id=00000/00B/?id=192
CCTV1,http://154.12.55.21/zjzb/zjzb.php?id=00000/00B/?id=222
CCTV2,http://154.12.55.21/zjzb/zjzb.php?id=00000/00B/?id=119
CCTV7,http://154.12.55.21/zjzb/zjzb.php?id=00000/00B/?id=120
CCTV10,http://154.12.55.21/zjzb/zjzb.php?id=00000/00B/?id=122
CCTV12,http://154.12.55.21/zjzb/zjzb.php?id=00000/00B/?id=123
CCTV1,http://154.12.55.21/hbdx/zb.php?id=239.254.200.45:8008
CCTV2,http://154.12.55.21/hbdx/zb.php?id=239.254.200.158:6000
CCTV3,http://154.12.55.21/hbdx/zb.php?id=239.254.201.152:7205
CCTV4,http://154.12.55.21/hbdx/zb.php?id=239.254.200.190:6307
CCTV5,http://154.12.55.21/hbdx/zb.php?id=239.254.201.153:7206
CCTV5+,http://154.12.55.21/hbdx/zb.php?id=239.254.200.46:8004
CCTV6,http://154.12.55.21/hbdx/zb.php?id=239.254.201.154:7207
CCTV7,http://154.12.55.21/hbdx/zb.php?id=239.254.200.159:6000
CCTV8,http://154.12.55.21/hbdx/zb.php?id=239.254.201.155:7208
CCTV9,http://154.12.55.21/hbdx/zb.php?id=239.254.200.59:8112
CCTV10,http://154.12.55.21/hbdx/zb.php?id=239.254.200.160:6000
CCTV11,http://154.12.55.21/hbdx/zb.php?id=239.254.201.123:8120
CCTV12,http://154.12.55.21/hbdx/zb.php?id=239.254.200.161:6000
CCTV13,http://154.12.55.21/hbdx/zb.php?id=239.254.200.9:8264
CCTV14,http://154.12.55.21/hbdx/zb.php?id=239.254.200.162:6000
CCTV15,http://154.12.55.21/hbdx/zb.php?id=239.254.201.124:8136
CCTV14,http://154.12.55.21/bjzb/zb.php?id=239.3.1.65:8132
CCTV15,http://154.12.55.21/bjzb/zb.php?id=239.3.1.153:8136
CCTV16,http://154.12.55.21/bjzb/zb.php?id=239.3.1.184:8001
CCTV17,http://154.12.55.21/bjzb/zb.php?id=239.3.1.151:8144
CCTV5+,http://154.12.55.21/zb/zb.php?id=239.253.92.82:8013
CCTV7,http://154.12.55.21/zb/zb.php?id=239.253.92.194:6059
CCTV8,http://154.12.55.21/zb/zb.php?id=239.253.92.195:6060
CCTV9,http://154.12.55.21/zb/zb.php?id=239.253.92.107:6020
CCTV10,http://154.12.55.21/zb/zb.php?id=239.253.92.196:6061
CCTV11,http://154.12.55.21/zb/zb.php?id=239.253.93.153:6321
CCTV12,http://154.12.55.21/zb/zb.php?id=239.253.92.197:6062
CCTV17,http://154.12.55.21/hbdx/zb.php?id=239.254.201.120:8144
CETV1,http://mobilelive-ds.ysp.cctv.cn/ysp/2022823801.m3u8
CETV1,http://mobilelive-timeshift.ysp.cctv.cn/ysp/2022823801/timeshift.m3u8?delay=0
CCTV6,http://mobilelive-ds.ysp.cctv.cn/ysp/2013693901.m3u8
CCTV6,http://mobilelive-timeshift.ysp.cctv.cn/ysp/2013693901/timeshift.m3u8?delay=0
CCTV11,http://154.12.55.21/zjzb/zjzb.php?id=00000/00C/?id=39
CCTV1,http://154.12.55.21/bjzb/zb.php?id=239.3.1.129:8008
CCTV3,http://154.12.55.21/bjzb/zb.php?id=239.3.1.172:8001
CCTV4,http://154.12.55.21/bjzb/zb.php?id=239.3.1.105:8092
CCTV3,http://154.12.55.21/zjzb/zjzb.php?id=00000/00B/?id=196
CCTV6,http://mobilelive-ds.ysp.cctv.cn/ysp/2013693901.m3u8?key=txiptv&playlive=1&authid=0
风云剧场,http://154.12.55.21/hbdx/zb.php?id=239.254.201.219:7257
风云音乐,http://154.12.55.21/hbdx/zb.php?id=239.254.201.221:7259
风云足球,http://154.12.55.21/hbdx/zb.php?id=239.254.201.222:7251
第一剧场,http://154.12.55.21/hbdx/zb.php?id=239.254.201.218:7258
电视指南,http://154.12.55.21/hbdx/zb.php?id=239.254.201.217:7250
国学,http://154.12.55.21/hbdx/zb.php?id=239.254.200.107:6255
怀旧剧场,http://154.12.55.21/hbdx/zb.php?id=239.254.201.220:7256
欢笑剧场,http://154.12.55.21/hbdx/zb.php?id=239.254.201.164:6355
环球旅游,http://154.12.55.21/hbdx/zb.php?id=239.254.201.161:6264
环球奇观,http://154.12.55.21/hbdx/zb.php?id=239.254.200.105:6238
老故事,http://154.12.55.21/hbdx/zb.php?id=239.254.200.104:6237
梨园,http://154.12.55.21/hbdx/zb.php?id=239.254.201.231:7228
世界地理,http://154.12.55.21/hbdx/zb.php?id=239.254.201.226:7254
全纪实,http://154.12.55.21/hbdx/zb.php?id=239.254.201.200:6356
文化精品,http://154.12.55.21/hbdx/zb.php?id=239.254.201.229:7260
文物宝库,http://154.12.55.21/hbdx/zb.php?id=239.254.201.227:7230
第一剧场,http://154.12.55.21/zb/zb.php?id=239.253.93.138:6428
都市剧场,http://154.12.55.21/zb/zb.php?id=239.253.93.227:6405
风云剧场,http://154.12.55.21/zb/zb.php?id=239.253.93.251:6429
风云音乐,http://154.12.55.21/zb/zb.php?id=239.253.93.253:6431
风云足球,http://154.12.55.21/zb/zb.php?id=239.253.93.254:6432
怀旧剧场,http://154.12.55.21/zb/zb.php?id=239.253.93.252:6430
欢笑剧场4K,http://154.12.55.21/zb/zb.php?id=239.253.93.223:6401
风云足球,http://183.11.239.36:808/hls/133/index.m3u8
CHC高清电影,http://video.qd.sdu.edu.cn/liverespath/bca6167afdef7fc773405c38e695b342c1d1eca0/index.m3u8
CHC动作电影,http://video.qd.sdu.edu.cn/liverespath/e0096742f0c5be4c5225cf3c7ab1077177bec05f/index.m3u8
CHC家庭影院,http://video.qd.sdu.edu.cn/liverespath/449d51febadb152094085d373b9af94a6ac5f1dd/index.m3u8
CHC动作电影,http://fxgm.fxjf.work:19901/tsfile/live/1015_1.m3u8
CHC家庭影院,http://fxgm.fxjf.work:19901/tsfile/live/1014_1.m3u8
CHC影迷电影,http://fxgm.fxjf.work:19901/tsfile/live/1016_1.m3u8
CCTV1,http://49.232.131.30:99/cctv.php?id=cctv1
CCTV2,http://49.232.131.30:99/cctv.php?id=cctv2
CCTV4,http://49.232.131.30:99/cctv.php?id=cctv4
CCTV13,http://49.232.131.30:99/cctv.php?id=cctv13
CCTV1,http://php.jdshipin.com:8880/TVOD/gsyd.php?id=9900000501
CCTV2,http://php.jdshipin.com:8880/TVOD/gsyd.php?id=9900000502
CCTV3,http://php.jdshipin.com:8880/TVOD/gsyd.php?id=9900000003
CCTV4,http://php.jdshipin.com:8880/TVOD/gsyd.php?id=9900000503
CCTV5,http://php.jdshipin.com:8880/TVOD/gsyd.php?id=9900000005
CCTV5+,http://php.jdshipin.com:8880/TVOD/gsyd.php?id=9900000507
CCTV6,http://php.jdshipin.com:8880/TVOD/gsyd.php?id=9900000006
CCTV7,http://php.jdshipin.com:8880/TVOD/gsyd.php?id=9900000504
CCTV8,http://php.jdshipin.com:8880/TVOD/gsyd.php?id=9900000008
CCTV9,http://php.jdshipin.com:8880/TVOD/gsyd.php?id=9900000505
CCTV10,http://php.jdshipin.com:8880/TVOD/gsyd.php?id=9900000506
CCTV11,http://php.jdshipin.com:8880/TVOD/gsyd.php?id=9900000508
CCTV12,http://php.jdshipin.com:8880/TVOD/gsyd.php?id=9900000509
CCTV12,http://58.51.111.46:1111/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://php.jdshipin.com:8880/TVOD/gsyd.php?id=9900000510
CCTV14,http://php.jdshipin.com:8880/TVOD/gsyd.php?id=9900000511
